class	chr	start	end	linkedGene	ATAC_x	ATAC_y	ATAC_x_pred	ATAC_y_pred	training	ChIP_NHR-23	ChIP_GRH-1	ChIP_BLMP-1	ChIP_LIN-14	ChIP_NHR-43	ChIP_NHR-21	ChIP_HLH-11	ChIP_NHR-25	ChIP_HAM-2	TFCluster	Vec_x_NHR-23	Vec_x_GRH-1	Vec_x_BLMP-1	Vec_x_LIN-14	Vec_x_NHR-43	Vec_x_NHR-21	Vec_x_HLH-11	Vec_x_NHR-25	Vec_x_HAM-2	Vec_y_NHR-23	Vec_y_GRH-1	Vec_y_BLMP-1	Vec_y_LIN-14	Vec_y_NHR-43	Vec_y_NHR-21	Vec_y_HLH-11	Vec_y_NHR-25	Vec_y_HAM-2
ce_ATAC_peaks_peak_37	osc	chrI	74686	74863	NA	0.0291438386241763	0.279332481891562	-0.0753233251137415	-0.241588722033674	FALSE	-0.11772654793385	0.693486540313623	0.278303151971217	0.0958130670295599	-0.252533867573965	-0.646098806458827	-0.0986260861657422	0.374973598650188	0.18233908724376	92	-0.0169150079649076	-0.114234992432656	-0.0265602600159527	0.0256988567347151	0.0172717807193935	0.000849644468365861	0.0183861129671611	0.0293037728528771	-0.00912323244273932	-0.0136167687361123	-0.05044543433534	0.0251092787387738	0.00120925091541871	0.00250033006018043	-0.110681155243029	-0.000845666956264706	-0.106715403165493	0.0118968466881898
ce_ATAC_peaks_peak_46	osc	chrI	96486	96768	NA	0.10651140619155	-0.2274366501916	0.115727840815391	-0.00442356039530656	TRUE	0.201620555140354	-0.287483594383468	0.351940295917378	0.282871224394183	-0.390345462833958	-0.0821587373728943	0.204024224653538	0.35378402011773	0.385711917200707	97	0.0289689399370181	0.0473559100571097	-0.033587926343801	0.0758713534119183	0.0266972557132505	0.000108041859912106	-0.0380346882691203	0.0276478306788185	-0.0192988762297158	0.0233203174642938	0.0209120638107846	0.0317530251705879	0.00357010058908505	0.00386479842864217	-0.0140743549977754	0.00174940070902818	-0.100684966825073	0.0251660552551198
ce_ATAC_peaks_peak_67	osc	chrI	128435	128596	NA	-0.0136962857235009	-0.343487088029812	0.0223195645743848	-0.0828563079279415	FALSE	0.328089628808488	-0.18573391726647	0.349988117736156	-0.107789383704151	-0.613970984052477	-0.520462803135452	0.16288001760045	0.492149225546526	0.876908996809482	97	0.0471400782737422	0.0305951325656982	-0.0334016174223121	-0.02891112888059	0.0419918813523842	0.000684428352526924	-0.0303644859095634	0.0384609187608135	-0.0438756425183106	0.0379482850606678	0.0135106127987343	0.0315768942653039	-0.00136040328274274	0.00607890784017452	-0.0891588465048926	0.00139661071502966	-0.140062935659581	0.057214566839364
ce_ATAC_peaks_peak_74	osc	chrI	155970	156342	NA	0.150002266494861	0.282260768628527	0.00985974520854627	-0.116329782674656	FALSE	0.519464835027729	1.03045104844936	1.43755558994914	0.904651419327919	0.682856888413042	0.712689231198057	0.12643404461785	1.46019374218356	0.867137129963563	41	0.0746369614687137	-0.169741676123375	-0.137195177223089	0.24264443192276	-0.0467032582706675	-0.000937213405903321	-0.0235701396822369	0.114112529245179	-0.0433867127228266	0.0600835805453995	-0.0749568271026951	0.129700234276357	0.0114175507670537	-0.00676094506175625	0.122088551549265	0.00108410561380821	-0.415563027524554	0.0565769942624656
ce_ATAC_peaks_peak_75	osc	chrI	159188	159545	NA	-0.0662818155928004	-0.51143661778536	-0.397156112300141	-0.0167921309817844	FALSE	0.139970109988174	1.10815465808584	2.47361311130612	0.0420801674872389	0.269519857903229	0.258053626240776	0.210799122570045	0.857540694695047	0.377436506799069	37	0.0201109738359889	-0.182541450513803	-0.236072811068828	0.0112866880181775	-0.0184335191550624	-0.000339350318999852	-0.0392976810865028	0.0670158587695263	-0.0188848207806377	0.0161895566558879	-0.0806091247460831	0.223176204307218	0.000531091244988717	-0.00266850782829605	0.0442063554079664	0.00180749190500678	-0.244051317998447	0.0246261200699747
ce_ATAC_peaks_peak_76	osc	chrI	160131	160275	NA	0.242792890741595	-0.177181816582122	0.140332143442292	-0.324725831575838	FALSE	-0.0104370565591762	0.758034909557988	0.86838723331776	1.12865232418254	1.06046288994508	0.141314623510625	-0.0324578771449557	1.23915317390774	-0.333277294034097	43	-0.00149960138921134	-0.124867761842766	-0.0828757796959443	0.302725664480835	-0.072529212307815	-0.000185834096835866	0.00605087577802192	0.0968384528106186	0.0166753397053889	-0.00120719572557145	-0.0551407965851932	0.0783482937226071	0.0142446526191059	-0.010499610475648	0.0242081638698807	-0.000278309271300301	-0.352656109692481	-0.0217449200372373
ce_ATAC_peaks_peak_79	osc	chrI	165890	166045	NA	-0.35646361925983	-0.290516051545628	-0.170252140794044	-0.199181895184355	FALSE	-0.186696919558197	0.979231421745554	2.58280207125984	0.583553860087422	-0.282153651370693	-0.398958512942922	-0.16501610661811	1.12273150891908	0.609075723464096	37	-0.0268247046802482	-0.161304491940583	-0.246493415890228	0.156520060491853	0.0192975937939234	0.000524645596371373	0.0307627007786053	0.0877402281935727	-0.0304747571373111	-0.021594184336374	-0.0712310210987329	0.233027533734339	0.00736499792130784	0.00279359462906569	-0.0683443285533717	-0.00141492655790757	-0.319523150568996	0.0397395896463149
ce_ATAC_peaks_peak_80	osc	chrI	166929	167183	WBGene00004225	-0.565973199227087	0.163645028519141	0.166225504530829	-0.0691850037858539	FALSE	1.12334468817526	0.501498401245956	0.912176106159253	0.309327063655958	-0.202769642556038	0.198448862828727	0.0622971049661435	0.923069658668875	-0.347548834714621	67	0.161402714012288	-0.0826096293742232	-0.087054833509161	0.082967304351212	0.0138682103767802	-0.000260967791412672	-0.0116135766303222	0.0721368749756961	0.0173894081199706	0.129930972225718	-0.0364798784095939	0.0822990467271849	0.00390399813393248	0.00200761599798653	0.0339956507812378	0.000534164998216474	-0.26270049712641	-0.0226760771141261
ce_ATAC_peaks_peak_81	osc	chrI	167959	168223	NA	-0.297457673276192	-0.200132463384615	-0.0178517919444043	-0.00638053607427785	FALSE	0.600545641181961	0.657284385918419	0.321630797398159	0.168171970122213	0.275468088176426	0.227134017227531	0.11481497010241	0.311309911366994	-0.11864039769163	86	0.0862866913382296	-0.108271570516043	-0.03069529593009	0.0451068679977877	-0.0188403419306928	-0.000298689858866634	-0.0214040837743128	0.0243285259612587	0.00593610476832534	0.0694617421046775	-0.0478120257597169	0.0290184185326069	0.00212248824844855	-0.00272740107338759	0.0389096143970901	0.000984478144422751	-0.0885970714219138	-0.00774077924650515
ce_ATAC_peaks_peak_84	osc	chrI	170651	170744	NA	-0.284410487298773	-0.0713543368325372	0.0574078505853808	-0.342260164820403	FALSE	-0.496923970653965	-0.0555121353922877	0.556287959933749	-0.166792829154072	-0.224788243960766	0.148078849412331	-0.382654151587433	1.04235932704052	-0.989618406844269	95	-0.0713982790550209	0.00914427028906817	-0.0530901384153649	-0.0447369565936752	0.0153741488034302	-0.000194729310791856	0.0713353102810595	0.081459230891529	0.049514993695147	-0.0574764053357596	0.0040380506584594	0.0501898356021673	-0.00210508219382657	0.00222562149366226	0.0253669221428282	-0.00328105863524979	-0.296649674080689	-0.0645683744719953
ce_ATAC_peaks_peak_88	osc	chrI	172410	172500	NA	-0.214149869600533	-0.26163291528394	-0.0654344422231242	-0.270418516096308	TRUE	-0.199611767918531	0.475809703893906	0.183359985795393	0.100081697556545	0.40442849751414	-0.250429304454177	-0.0998650904068336	0.707816323262061	0.286236353866013	82	-0.0286803164068689	-0.0783780430678918	-0.0174992229328064	0.0268437832856268	-0.0276604496372832	0.000329324046290064	0.018617091127495	0.0553150644021205	-0.0143216730398062	-0.0230879723261777	-0.0346112372462813	0.0165432441575448	0.00126312504274154	-0.00400423412211053	-0.0429002568130619	-0.000856290767733834	-0.201440593620284	0.0186756995990553
ce_ATAC_peaks_peak_89	osc	chrI	172749	173101	WBGene00018958	-0.497197570422	-0.00611369001105391	-0.235295963379153	-0.0945014770271427	FALSE	0.574584506390202	1.23962539348057	0.80503671734904	0.222021819288536	0.150460250654192	0.476253469429268	0.697898417682598	0.952907674217988	0.596049341160716	33	0.0825565827986724	-0.204198047419261	-0.0768298324461339	0.0595504047909936	-0.0102905660981217	-0.000626291399698498	-0.130103907049009	0.0744686829567895	-0.029822989513385	0.0664589634214441	-0.0901725379687455	0.072632635267297	0.00280212393299924	-0.00148970231671114	0.0815854845388744	0.00598411286109211	-0.271192230598964	0.0388896738355711
ce_ATAC_peaks_peak_93	osc	chrI	177319	177643	WBGene00018957	0.176353389410531	0.610067666224084	-0.0901298578219892	0.0722477360782638	FALSE	-0.00400033840666445	0.172675875448144	1.42150862318761	0.557405475644897	0.872364655801632	0.435606232760967	0.168832336213748	0.523281809605767	0.482393812775347	52	-0.000574770578077903	-0.0284441386796061	-0.135663711960714	0.149506574685941	-0.059664437040081	-0.000572838739758039	-0.0314741315083628	0.0408938958420778	-0.0241362998434082	-0.0004626966806191	-0.0125607478009268	0.128252432631017	0.00703498074511111	-0.00863725564136827	0.0746223342174211	0.00144764872495298	-0.148923096138679	0.031474136021354
ce_ATAC_peaks_peak_95	osc	chrI	178367	178658	NA	-0.214838002568257	0.377468448124342	-0.258317962502337	0.122723227626315	FALSE	0.434075694930528	0.68180513604723	1.34546753860199	-0.135504888133778	0.701719317751657	0.395142404165449	-0.0143121325095433	0.302669027871105	0.428349603921717	52	0.0623682080718814	-0.112310766005174	-0.128406622113963	-0.0363449455795962	-0.0479933337227301	-0.000519627268398856	0.00266810227751738	0.0236532504535344	-0.0214322286154083	0.0502070981912885	-0.0495957083816129	0.121391796037665	-0.00171019898537355	-0.00694770139482335	0.0676906029562936	-0.000122719029087932	-0.0861379239798293	0.0279479822117947
ce_ATAC_peaks_peak_96	osc	chrI	179271	179445	NA	-0.230249560176385	0.263950444199217	0.002426025399105	0.0645383889896312	FALSE	0.876521112242545	0.457562757128363	1.99748379094431	0.517313671276574	-0.522995959619922	0.469453996166552	0.389779749777149	1.2341194868368	1.10313867784286	41	0.125938981947582	-0.0753723036562254	-0.190632727259297	0.138753202848048	0.0357697429594799	-0.000617349834124136	-0.0726636814896113	0.0964450757220175	-0.0551949158387649	0.101382275172403	-0.0332839221487664	0.180218502477437	0.00652898451060767	0.00517816691976018	0.0804206881513277	0.0033421569021174	-0.351223550314653	0.0719750873193977
ce_ATAC_peaks_peak_99	osc	chrI	182152	182305	NA	-0.230140663562612	0.233160866203348	-0.102792769655799	0.174037300151976	FALSE	0.00604196718669117	0.0385240232775377	0.713018705499883	0.0881730686371318	0.0237073985459882	1.29503152157799	0.30090434128887	0.574839013329403	0.767870379913833	64	0.000868112799366351	-0.00634589318142317	-0.0680479616568393	0.0236496662617717	-0.00162144188043866	-0.0017030156342477	-0.0560953133834085	0.0449230344061941	-0.0384199573867736	0.000698840417359227	-0.00280230541417757	0.0643305161854864	0.00111282695847565	-0.00023472622425921	0.22184777846904	0.00258009689238772	-0.163595989913758	0.0501002627814216
ce_ATAC_peaks_peak_113	osc	chrI	257906	258122	NA	-0.254415164137594	-0.0906233956972209	-0.133355610263473	0.124178437504709	FALSE	0.0753790669895254	0.176155262274094	0.354443290236	0.288771961814452	0.113385050289329	0.498379624633164	0.719680666908719	0.103601645149396	0.486016895758821	66	0.0108305011986894	-0.0290172827921838	-0.0338268031924827	0.0774540415597248	-0.0077548478715676	-0.000655388134110114	-0.134164606510176	0.00809635421685908	-0.0243175787382256	0.00871867340675805	-0.0128138445366996	0.0319788522285378	0.00364457343864851	-0.00112262189755774	0.0853758466237018	0.00617088422270427	-0.0294844526935353	0.0317105267121517
ce_ATAC_peaks_peak_116	osc	chrI	262083	262178	NA	0.186493822476724	-0.373627082769615	0.0465750314570207	0.0832788086512454	FALSE	1.19993281930293	0.244198945082247	1.54497692305015	0.225905671008294	-0.117340310308409	-0.142279067929706	0.277971781199367	0.551044092229971	-0.0358371895335913	67	0.172406934137471	-0.0402258198564564	-0.147447086043433	0.0605921264686239	0.00802536360236448	0.000187102377875123	-0.051820170195396	0.0430634875862048	0.00179309337976653	0.138789491292144	-0.0177634620613325	0.139392083528581	0.00285114179030276	0.00116178280542543	-0.0243733798111647	0.00238346221849772	-0.156824087551677	-0.00233822355953099
ce_ATAC_peaks_peak_117	osc	chrI	264422	264592	NA	-0.292406462059985	-0.310744437462199	0.319421941175806	-0.0813660268991898	FALSE	0.977069566511355	0.119455463762392	1.14784578633053	0.262922893299006	-1.26066337973588	-0.159448781999003	-0.291783854216727	0.814828851183411	-0.664233324940104	67	0.140385833016143	-0.019677373972918	-0.109546307065569	0.0705208378840785	0.0862217082601415	0.000209681203956473	0.05439505017574	0.0636779753428048	0.033234536331428	0.113012150273483	-0.00868940116775466	0.1035618159333	0.00331833391063736	0.0124817893710794	-0.0273146695479434	-0.00250189349973774	-0.231895764602972	-0.0433383875692808
ce_ATAC_peaks_peak_118	osc	chrI	268158	268245	NA	-0.509229390905557	-0.242512390089741	-0.228600377999853	0.0347491566293844	FALSE	-0.0206460587615339	0.247398507808847	0.887970847556238	-0.242192915214019	0.912313298060343	-0.132416291261583	-0.226786108185011	0.04447789480285	0.373882449789075	83	-0.00296643581693677	-0.0407528697739582	-0.084744769977017	-0.0649606700130771	-0.0623966812169056	0.00017413245198294	0.0422780135213434	0.00347589838582953	-0.0187069955611137	-0.00238801368427077	-0.0179962038984755	0.0801151814676565	-0.00305670211287697	-0.00903278592038558	-0.0226838185480588	-0.00194457192095851	-0.0126581617823886	0.0243942330291426
